x,z,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
250.0,0.0,
249.9944666323364,-1.6633259493079549,
249.97866454928962,-3.266078712114233,
249.95111041228475,-4.94392593652466,
249.91296940081008,-6.596038604325683,
249.86506019758218,-8.212897933046651,
249.80547476648468,-9.860262506200312,
249.73445498587412,-11.519635103093046,
249.65459483656159,-13.13709545494265,
249.5644626531892,-14.750558654672936,
249.46364668163883,-16.367314510892058,
249.35170954806486,-17.99235797380393,
249.22892500504602,-19.619962814163497,
249.0927952006204,-21.278613186525355,
248.94582269447872,-22.93419636632522,
248.78974554342935,-24.56954440838665,
248.62110391136227,-26.221111530512918,
248.44963875045923,-27.798866969110644,
248.26042796160763,-29.440786475898093,
248.06306578260447,-31.059867909172365,
247.85721750464467,-32.661900294613304,
247.63538537816802,-34.303292970299694,
247.40438399064777,-35.931473421056786,
247.16827436254633,-37.52124929477993,
246.91852018046737,-39.13111794835571,
246.6522356870866,-40.775907476865385,
246.38685064400732,-42.34996847375002,
246.10170437878503,-43.97671090312573,
245.80378717386222,-45.612478676198315,
245.49715231424236,-47.235031550721914,
245.17017641931216,-48.90383005985675,
244.8744257070038,-50.36383260500619,
244.5359443107242,-51.98241952874439,
244.18658144310245,-53.5995656990903,
243.82427982852101,-55.224275152355595,
243.45950859015724,-56.81080598829025,
243.0760588416722,-58.42969808239575,
242.6911942444457,-60.00820140784695,
242.30878108706784,-61.53417431069856,
241.89084787601567,-63.157087597689674,
241.48859569652734,-64.67811181937175,
241.0564955346516,-66.27040033493466,
240.6083264706986,-67.87954944583628,
240.16072092617858,-69.44658468361257,
239.69194529245667,-71.04766964452786,
239.22851629912827,-72.59281637543565,
238.73632597030695,-74.19546254454748,
238.25036133174382,-75.74143730675775,
237.75156777440944,-77.29289760909724,
237.2395644479813,-78.85042206946092,
236.70891160350595,-80.42941730165401,
236.20230772206946,-81.90524907946259,
235.66283428432422,-83.44476338919743,
235.11162597636508,-84.98543010863582,
234.54588877244083,-86.53453680436391,
233.96162203038634,-88.10198304754918,
233.39243876985327,-89.59893707550489,
232.76900647756148,-91.20630254236245,
232.18519567434691,-92.68244121550337,
231.58771442989544,-94.16544230840312,
230.9666622083053,-95.67863370865304,
230.31684123131666,-97.2324670325117,
229.69406620071055,-98.69466020096321,
229.03897531398394,-100.20552772736774,
228.3674448005718,-101.72664427404351,
227.70381208291283,-103.20355596058465,
227.0227511543424,-104.69322068937193,
226.31920986767366,-106.20553302381134,
225.6278482112275,-107.66649484204119,
224.92664937770883,-109.12379392102002,
224.2199665366238,-110.56856065950804,
223.47278575709217,-112.07102224020612,
222.72240838602522,-113.55495939292393,
222.0019436153608,-114.95710952786767,
221.22483319252922,-116.44558033234931,
220.48450736819524,-117.84134253564942,
219.686374815026,-119.32265803539539,
218.86513297522268,-120.82240507347176,
218.08697433727173,-122.22140411734019,
217.28521997404968,-123.64114679518643,
216.48766706390785,-125.03235584930242,
215.69460093904735,-126.39556608419896,
214.8184515152841,-127.87897750832833,
214.00547605607935,-129.23488777420303,
213.12012091901005,-130.68976264216923,
212.22352229627873,-132.1407453594874,
211.43577519036302,-133.39757482671962,
210.53193232178884,-134.81952927099886,
209.63000249580205,-136.21770095552938,
208.7659347338164,-137.53830191883242,
207.83741442888035,-138.93742895101317,
206.9365860801791,-140.27561919835043,
205.99260010956365,-141.65821084604093,
205.08971433748198,-142.96226450700212,
204.1301523658358,-144.32907155213275,
203.15795556450342,-145.6943550411314,
202.1901780372648,-147.0344582241155,
201.26009319063476,-148.3050062839991,
200.32390396829823,-149.5671538102535,
199.29295703475202,-150.93812399902313,
198.27325326984956,-152.27513598020553,
197.31443021114825,-153.51552244138017,
196.3102932995278,-154.79750884511466,
195.2496093497226,-156.13324453421416,
194.25559229019518,-157.3682460472425,
